0.0,0.0,98.5
5.0,0.0,99.0
10.0,0.0,99.8
15.0,0.0,100.3
20.0,0.0,101.1
25.0,0.0,101.6
30.0,0.0,102.4
0.0,5.0,98.7
5.0,5.0,99.2
10.0,5.0,100.0
15.0,5.0,100.5
20.0,5.0,101.3
25.0,5.0,101.9
30.0,5.0,102.7
0.0,10.0,99.1
5.0,10.0,99.5
10.0,10.0,100.2
15.0,10.0,100.8
20.0,10.0,101.5
25.0,10.0,102.1
30.0,10.0,102.9
0.0,15.0,99.3
5.0,15.0,99.7
10.0,15.0,100.4
15.0,15.0,101.0
20.0,15.0,101.7
25.0,15.0,102.3
30.0,15.0,103.1
0.0,20.0,99.6
5.0,20.0,100.0
10.0,20.0,100.6
15.0,20.0,101.2
20.0,20.0,101.9
25.0,20.0,102.6
30.0,20.0,103.4
